Company, Ticker,Exchange
Cytrx Corp., CYTR,NASDAQ
Cyxtera Technologies Inc, CYXT,NASDAQ
D & K Healthcare Resources, DKHR,NASDAQ
D and Z Media Acquisition Corp, DNZ,NYSE
D F China Technology, DFCT,NASDAQ
D R Horton Inc, DHI,NYSE
D&E Communications, DECC,NASDAQ
D. Medical Industries Ltd. - Ordinary Shares, DMED,NASDAQ
D8 Holdings Corp, DEH,NYSE
DA32 Life Science Tech Acquisition Corporation, DALS,NASDAQ
Dade Behring Holdings, DADE,NASDAQ
Dag Media, DAGM,NASDAQ
Daiei, DAIED,NASDAQ
Daiei, DAIEY,NASDAQ
Daily Journal Corp, DJCO,NASDAQ
Daisytek Intl, DZTK,NASDAQ
Daktronics Inc, DAKT,NASDAQ
DallasNews Corporation, DALN,NASDAQ
Dana Incorporated, DAN,NYSE
Danaher Corporation, DHR,NYSE
Danaos Corp, DAC,NYSE
Danimer Scientific Inc, DNMR,NYSE
Danvers Bancorp, DNBK,NASDAQ
Daqo New Energy Corp New, DQ,NYSE
Dara Biosciences, DARAD,NASDAQ
Darden Restaurants Inc, DRI,NYSE
Dare Bioscience Inc, DARE,NASDAQ
DarioHealth Corporation, DRIO,NASDAQ
Darling Ingredients Inc, DAR,NYSE
Daseke Inc, DSKE,NASDAQ
Data Domain, DDUP,NASDAQ
Data I O Corp, DAIO,NASDAQ
Data Knights Acquisition Corporation, DKDCA,NASDAQ
Data Storage Corporation, DTST,NASDAQ
Datadog Inc, DDOG,NASDAQ
Datalink Corp., DTLK,NASDAQ
Datascope, DSCP,NASDAQ
Datasea Inc, DTSS,NASDAQ
DatChat Inc, DATS,NASDAQ
Datto Holding Corp, MSP,NYSE
Dave and Busters Entertainment Inc, PLAY,NASDAQ
Dave Inc, DAVE,NASDAQ
Davids Tea Inc, DTEA,NASDAQ
DaVita Inc, DVA,NYSE
Dawson Geophysical Company, DWSN,NASDAQ
Daxor Corporation, DXR,AMEX
Day Hagan/Ned Davis Research Smart Sector Fixed Income, SSFI,NYSE
Day One Biopharmaceuticals Inc, DAWN,NASDAQ
Daystar Technologies, DSTID,NASDAQ
Daystar Technologies, DSTIZ,NASDAQ
Daystar Technologies WT A, DSTIW,NASDAQ
Dayton Superior Corp, DSUP,NASDAQ
DBA Chubb Limited, CB,NYSE
Dcap Grp., DCAP,NASDAQ
DD3 Acquisition Corporation II, DDMX,NASDAQ
DD3 Acquisition Corporation II, DDMXU,NASDAQ
Ddi Corp., DDIC,NASDAQ
Ddi New, DDICD,NASDAQ
Dean Foods Company New, DF,NYSE
Dearborn Bancorp, DEAR,NASDAQ
Deb Shops, DEBS,NASDAQ
Decarbonization Plus Acquisition Corporation, DCRB,NASDAQ
Decarbonization Plus Acquisition Corporation, DCRBU,NASDAQ
Decarbonization Plus Acquisition Corporation II, DCRN,NASDAQ
Decarbonization Plus Acquisition Corporation III, DCRC,NASDAQ
Decarbonization Plus Acquisition Corporation IV, DCRD,NASDAQ
Decibel Therapeutics Inc, DBTX,NASDAQ
Deciphera Pharmaceuticals Inc, DCPH,NASDAQ
Deckers Outdoor, DECK,NYSE
Decode Genetics, DCGN,NASDAQ
Decoma International, DECA,NASDAQ
Dectron International, DECT,NASDAQ
Dectron International, DECTW,NASDAQ
Deep Lake Capital Acquisition Corporation, DLCA,NASDAQ
Deep Medicine Acquisition Corporation, DMAQ,NASDAQ
Deep Medicine Acquisition Corporation, DMAQU,NASDAQ
Deer Consumer Products, DEER,NASDAQ
Deere and Co, DE,NYSE
Deerfield Healthcare Technology Acquisitions Corporation, DFHT,NASDAQ
Definitive Healthcare Corporation, DH,NASDAQ
Del Friscos Restaurant Group Inc, DFRG,NASDAQ
Del Monte Foods Co., DLM,NYSE
Del Taco Restaurants Inc, TACO,NASDAQ
Delaware Enhanced Global Dividend and Income Fund, DEX,NYSE
Delaware Invest Minnesota Muni Fund, VMM,AMEX
Delaware Investments Colorado Municipal Income Fund Inc, VCF,AMEX
Delaware Investments Dividend and Income Fund, DDF,NYSE
Delaware Investments National Municipal Income Fund, VFL,AMEX
Delaware Ivy High Income Opportunities Fund, IVH,NYSE
Delcath Systems Inc, DCTH,NASDAQ
Delcath Systems Wts 10-05, DCTHW,NASDAQ
Delek Logistics Partners LP, DKL,NYSE
Delek US Holdings Inc New, DK,NYSE
Delimobil Holding Sa, DMOB,NYSE
Dell Inc., DELL,NASDAQ
Dell Technologies Inc, DELL,NYSE
Delmar Bancorp, DBCP,NASDAQ
DelMar Pharmaceuticals Inc, DMPI,NASDAQ
Delphi Technologies PLC, DLPH,NYSE
Delta Air Lines Inc, DAL,NYSE
Delta Air Lines Inc, DAL,NYSE
Delta Apparel Inc, DLA,AMEX
Delta Financial, DFC,NASDAQ
Delta Natural Gas Company, DGAS,NASDAQ
Delta Petroleum Corp., DPTR,NASDAQ
Delta Petroleum Corp., DPTRD,NASDAQ
Delta Technology Holdings Limited - Ordinary Shares, DELT,NASDAQ
Delta Technology Holdings Limited - Warrant, DELTW,NASDAQ
Deltek, PROJ,NASDAQ
Deluxe Corp, DLX,NYSE
Delwinds Insurance Acquisition Corp, DWIN,NYSE
Demand Media Inc., DMD,NYSE
Denali Therapeutics Inc, DNLI,NASDAQ
Denbury Inc, DEN,NYSE
Denbury Resources Inc, DNR,NYSE
Dendrite International, DRTE,NASDAQ
Denison Mines Corp, DNN,AMEX
Denison Mines Corp, DNN,AMEX
Dennys Corporation, DENN,NASDAQ
DENTSPLY SIRONA Inc, XRAY,NASDAQ
Derma Sciences, DSCI,NASDAQ
Dermadoctor, DDOC,NASDAQ
Dermata Therapeutics Inc, DRMA,NASDAQ
Dermavant Sciences Ltd., DRMT,NASDAQ
DermTech Inc, DMTK,NASDAQ
Descartes Systems Group Inc, DSGX,NASDAQ
Desert Community Bank, DCBK,NASDAQ
Desert Peak Minerals Inc, DPM,NYSE
Design Therapeutics Inc, DSGN,NASDAQ
Design Within Reach, DWIRD,NASDAQ
Design Within Reach, DWRI,NASDAQ
Designer Brands Inc, DBI,NYSE
Desktop Metal Inc, DM,NYSE
Despegar com Corp, DESP,NYSE
Destination Maternity Corp, DEST,NASDAQ
Destination XL Group, CMRG,NASDAQ
Destination XL Group Inc, DXLG,NASDAQ
Deswell Industries Inc, DSWL,NASDAQ
Deutsche Bank Aktiengesellschaft, DB,NYSE
Deutsche High Income Trust Shares of Beneficial Interest, KHI,NYSE
Deutsche Strategic Government Securities Fund Class A, KUSAX,NASDAQ
Deutsche Strategic Government Securities Fund Class C, KUSCX,NASDAQ
Deutsche Strategic Government Securities Fund Class S, KUSMX,NASDAQ
Deutsche Strategic Government Securities Fund Institutional Class, KUSIX,NASDAQ
Devcon Intl Corp, DEVC,NASDAQ
Devon Energy Corp, DVN,NYSE
Devon Energy Corp, DVN,NYSE
DexCom Inc, DXCM,NASDAQ
DFB Healthcare Acquisitions Corporation, DFBH,NASDAQ
Dfc Global Corp, DLLR,NASDAQ
DFP Healthcare Acquisitions Corporation, DFPH,NASDAQ
DFP Healthcare Acquisitions Corporation, DFPHW,NASDAQ
DGSE Companies Inc, DGSE,AMEX
Dgw Financial Ltd, DGFJ,NASDAQ
DHB Capital Corporation, DHBC,NASDAQ
DHC Acquisition Corporation, DHCA,NASDAQ
DHI Group Inc, DHX,NYSE
DHT Holdings Inc New, DHT,NYSE
DHX Media Limited, DHXM,NASDAQ
Dialog Semiconductor, DLGS,NASDAQ
Dialogic, DLGC,NASDAQ
Dialysis of America, DCAI,NASDAQ
DiaMedica Therapeutics Inc, DMAC,NASDAQ
Diamond Eagle Acquisition Corp, DEAC,NASDAQ
Diamond Eagle Acquisition Corp, DEACU,NASDAQ
Diamond Eagle Acquisition Corp., EACU,NASDAQ
Diamond Hill Finl, DHFT,NASDAQ
Diamond Hill Investment Group Inc, DHIL,NASDAQ
Diamond Management & Technology Consultants, DTPI,NASDAQ
Diamond Offshore Drilling Inc, DO,NYSE
Diamond Resorts International, DRII,NYSE
Diamond S Shipping Group, DSG,NYSE
Diamond S Shipping Inc, DSSI,NYSE
Diamondback Energy Inc, FANG,NASDAQ
DiamondHead Holdings Corporation, DHHC,NASDAQ
DiamondPeak Holdings Corporation, DPHC,NASDAQ
Diamondrock Hospitality Company, DRH,NYSE
Diana Containerships Inc. - Common Shares, DCIXV,NASDAQ
Diana Shipping Inc, DSX,NYSE
DICE Therapeutics Inc, DICE,NASDAQ
Dicerna Pharmaceuticals Inc, DRNA,NASDAQ
Dicks Sporting Goods Inc, DKS,NYSE
DiDi Global Inc, DIDI,NYSE
Diebold Nixdorf Incorporated, DBD,NYSE
Diedrich Coffee, DDRX,NASDAQ
Diesel Tek, DLTK,NASDAQ
Diffusion Pharmaceuticals Inc, DFFN,NASDAQ
Digene Corp, DIGE,NASDAQ
Digi International Inc, DGII,NASDAQ
Digihost Technology Inc, DGHI,NASDAQ
Digimarc Corporation, DMRC,NASDAQ
Digirad Corporation, DRAD,NASDAQ
Digital Ally Inc, DGLY,NASDAQ
Digital Brands Group Inc, DBGI,NASDAQ
Digital Domain, DTWO,NASDAQ
Digital Generation, DGIT,NASDAQ
Digital Generation Systems, DGITD,NASDAQ
Digital Health Acquisition Corporation, DHAC,NASDAQ
Digital Health Acquisition Corporation, DHACU,NASDAQ
Digital Island, ISLD,NASDAQ
Digital Media Solutions Inc, DMS,NYSE
Digital Music, DMGI,NASDAQ
Digital Realty Trust Inc, DLR,NYSE
Digital Transformation Opportunites Corporation, DTOC,NASDAQ
Digital Turbine Inc, APPS,NASDAQ
Digital World Acquisition Corporation, DWAC,NASDAQ
DigitalBridge Group Inc, DBRG,NYSE
DigitalOcean Holdings Inc, DOCN,NYSE
Digitalthink, DTHK,NASDAQ
DILA Capital Aquisition Corporation, DILA,NASDAQ
Dillards Inc, DDS,NYSE
Dime Community Bancshares Inc, DCOM,NASDAQ
Dimension Therapeutics, DMTX,NASDAQ
Dine Brands Global Inc, DIN,NYSE
Diodes Inc, DIOD,NASDAQ
Dionex Corp., DNEX,NASDAQ
Diplomat Pharmacy Inc, DPLO,NYSE
Direct Gen Corp, DRCT,NASDAQ
Direct Selling Acquisition Corp, DSAQ,NYSE
Direxion Daily Energy Bull 2X Shares, ERX,AMEX
Direxion Daily FTSE China Bull 3X Shares, YINN,AMEX
Direxion Daily Japan Bear 3x Shares, JPNS,NYSE
Direxion Daily S&P 500 Bear 3X Shares New, SPXS,AMEX
Direxion Daily S&P 500 Bull 3X Shares, SPXL,AMEX
Direxion Daily S&P Biotech Bull 3X Shares New, LABU,AMEX
Direxion Daily S&P Oil & Gas Exp & Prod Bear 2X Shares, DRIP,AMEX
Direxion Daily Semiconductor Bear 3X Shares New, SOXS,AMEX
Direxion Daily Semiconductor Bull 3X Shares, SOXL,AMEX
Direxion Daily Smal Cap Bull 3X Shares, TNA,AMEX
Direxion Daily Small Cap Bear 3X Share New, TZA,AMEX
Direxion Value Line Conservative Equity Etf, VLLV,AMEX
Direxion Value Line Mid- And Large-Cap High Dividend Etf, VLML,AMEX
Direxion Value Line Small- And Mid-Cap High Dividend Etf, VLSM,AMEX
Dirtt Environmental Solutions Ltd, DRTT,NASDAQ
Discipline Fund ETF, DSCF,NYSE
Discover Financial Services, DFS,NYSE
Discovery Communications, DISAD,NASDAQ
Discovery Communications, DISBD,NASDAQ
Discovery Hldg Company Ser A, DISCAD,NASDAQ
Discovery Inc, DISCA,NASDAQ
Discovery Inc, DISCA,NASDAQ
Discovery Inc, DISCB,NASDAQ
Discovery Inc, DISCK,NASDAQ
Discovery Inc, DISCK,NASDAQ
Discovery Laboratories, DSCOD,NASDAQ
Discovery Partners, DPII,NASDAQ
DISH Network Corporation, DISH,NASDAQ
Disruptive Acquistion Corporation I, DISA,NASDAQ
Ditech Networks, DITC,NASDAQ
Diversa, DVSA,NASDAQ
Diversey Holdings Ltd, DSEY,NASDAQ
Diversicare Healthcare Services, AVCA,NASDAQ
Diversicare Healthcare Services Inc, DVCR,NASDAQ
Diversified Healthcare Trust, DHC,NASDAQ
Diversified Healthcare Trust, DHCNL,NASDAQ
Diversified Restaurant Holdings Inc, SAUC,NASDAQ
Dividend and Income Fund, DNI,NYSE
Divx, DIVX,NASDAQ
Dixie Group Inc, DXYN,NASDAQ
Djsp Enterprises, DJSPU,NASDAQ
Djsp Enterprises, DJSPW,NASDAQ
DLH Holdings Corporation, DLHC,NASDAQ
Dlh Holdings Corporation, TSTF,NASDAQ
DLocal Ltd, DLO,NASDAQ
DMC Global Inc, BOOM,NASDAQ
Dmi Furniture, DMIF,NASDAQ
DNB Financial Corporation, DNBF,NASDAQ
DNP Select Income Fund Inc, DNP,NYSE
Docebo Inc, DCBO,NASDAQ
Docent, DCNT,NASDAQ
DocGo Inc, DCGO,NASDAQ
Docucorp Intl, DOCC,NASDAQ
Document Sciences Corp, DOCX,NASDAQ
Documentum, DCTM,NASDAQ
DocuSign Inc, DOCU,NASDAQ
Dogness International Corporation, DOGZ,NASDAQ
Dogness International Corporation, DOGZ,NASDAQ
Dolby Laboratories Inc, DLB,NYSE
Dole plc, DOLE,NYSE
Dollar General Corporation, DG,NYSE
Dollar Tree Inc, DLTR,NASDAQ
Dolphin Entertainment Inc, DLPN,NASDAQ
Doma Holdings Inc, DOMA,NYSE
Dominion Energy Inc, D,NYSE
Dominion Energy Inc, DRUA,NYSE
Dominion Energy Inc Corporation, DCUE,NYSE
Dominion Homes, DHOM,NASDAQ
Dominion Resources Corporate Unit 2013 Series A, DCUA,NYSE
Dominion Resources Corporate Unit 2013 Series B, DCUB,NYSE
Dominos Pizza Inc, DPZ,NYSE
Domo Inc, DOMO,NASDAQ
Domtar Corporation, UFS,NYSE
Donaldson Co, DCI,NYSE
Donegal Group Inc, DGICA,NASDAQ
Donegal Group Inc, DGICB,NASDAQ
Donnelley Financial Solutions Inc, DFIN,NYSE
DoorDash Inc, DASH,NYSE
Dorian LPG Ltd, LPG,NYSE
Dorman Products Inc, DORM,NASDAQ
Doubleclick, DCLK,NASDAQ
DoubleLine Income Solutions Fund, DSL,NYSE
Doubleline Opportunities Credit Fund, DBL,NYSE
DoubleLine Yield Opportunities Fund, DLY,NYSE
Double-Take Software, DBTK,NASDAQ
DoubleVerify Holdings Inc, DV,NYSE
Douglas Dynamics Inc, PLOW,NYSE
Douglas Elliman Inc, DOUG,NYSE
Douglas Emmett Inc, DEI,NYSE
DouYu International Holdings Ltd, DOYU,NYSE
Dova Pharmaceuticals Inc, DOVA,NASDAQ
Dover Corp, DOV,NYSE
Dover Motorsports Inc, DVD,NYSE
Dow Inc, DOW,NYSE
Dow Jones Industrial Average Issues Advance/Decline, TIKI,NYSE
Dow Jones US Real Estate Index, RET,NYSE
Doximity Inc, DOCS,NYSE
DP Cap Acquisition Corporation I, DPCS,NASDAQ
DP Cap Acquisition Corporation I, DPCSU,NASDAQ
DPCM Capital Inc, XPOA,NYSE
Dr Reddys Laboratories Ltd, RDY,NYSE
Draftday Fantasy Sports, VGGL,NASDAQ
DraftKings Inc, DKNG,NASDAQ
DraftKings Inc, DKNG,NASDAQ
Draganfly Inc, DPRO,NASDAQ
Dragon Victory International Ltd, LYL,NASDAQ
Dragoneer Growth Opportunities Corp, DGNR,NYSE
Dragoneer Growth Opportunities Corporation II, DGNS,NASDAQ
Dragoneer Growth Opportunities Corporation III, DGNU,NASDAQ
Dragonwave - Warrants, DRWIW,NASDAQ
Draxis Health, DRAX,NASDAQ
Drdgold Limited - American Depositary Share Representing Ten Underlying Ordinary Shares, DROOY,NASDAQ
Drdgold Limited ADS, DROOD,NASDAQ
Dream Finders Homes Inc, DFH,NASDAQ
Dreamworks Animation Skg, DWA,NASDAQ
Drew Industries Incorporated  ($0.01 Par Value), DW,NYSE
Dreyers GR Ice Cr, DRYR,NASDAQ
Dri Corp., TBUS,NASDAQ
Dril Quip Inc, DRQ,NYSE
Drive Shack Inc, DS,NYSE
Driven Brands Holdings Inc, DRVN,NASDAQ
Dropbox Inc, DBX,NASDAQ
DropCar Inc, DCAR,NASDAQ
Drugstore.Com, DSCM,NASDAQ
DryShips Inc, DRYS,NASDAQ
DSP Group Inc, DSPG,NASDAQ
DSS Inc, DSS,AMEX
DT Asia Investments Limited - Unit, CADTU,NASDAQ
DT Midstream Inc, DTM,NYSE
DTE Energy Company, DTE,NYSE
DTE Energy Company, DTB,NYSE
DTE Energy Company, DTQ,NYSE
DTE Energy Company, DTP,NYSE
DTE Energy Company, DTG,NYSE
DTF Tax free Income 2028 Term Fund Inc, DTF,NYSE
DTLR HOLDING, DTLR,NASDAQ
DTRT Health Acquisition Corporation, DTRT,NASDAQ
Dts, DTSI,NASDAQ
Duck Creek Technologies Inc, DCT,NASDAQ
Duckhorn Portfolio Inc, NAPA,NYSE
Ducommun Inc, DCO,NYSE
Duddell Street Acquisition Corporation, DSAC,NASDAQ
Duddell Street Acquisition Corporation, DSACU,NASDAQ
Duff and Phelps Select MLP and Midstream Energy Fund Inc, DSE,NYSE
Duff and Phelps Utilities and Cap Bond Trust, DUC,NYSE
Duff and Phelps Utility and Infrastructure Fund Inc, DPG,NYSE
Duke Energy Corp New, DUK,NYSE
Duke Energy Corporation, DUKB,NYSE
Duke Realty Corporation, DRE,NYSE
Duluth Holdings Inc, DLTH,NASDAQ
Dun and Bradstreet Corp, DNB,NYSE
Dune Acquisition Corporation, DUNE,NASDAQ
Dunkin Brands Group Inc, DNKN,NASDAQ
Duolingo Inc, DUOL,NASDAQ
Duos Technologies Group Inc, DUOT,NASDAQ
DuPont de Nemours Inc, DD,NYSE
Dupont Photomasks, DPMI,NASDAQ
Dura Automotive Systems, DRRA,NASDAQ
Duratek, DRTK,NASDAQ
Durect Corp, DRRX,NASDAQ
Dutch Bros Inc, BROS,NYSE
Dutchfork Bancshares, DFBS,NASDAQ
DWS Municipal Income Trust, KTF,NYSE
DWS Strategic Municipal Income Trust, KSM,NYSE
DXC Technology Company, DXC,NYSE
Dxi Energy Inc. Ordinary Shares (Canada) New, DXI,AMEX
DXP Enterprises Inc, DXPE,NASDAQ
Dyadic International Inc, DYAI,NASDAQ
Dycom Industries Inc, DY,NYSE
Dynamics Research Corp., DRCO,NASDAQ
Dynamics Special Purpose Corporation, DYNS,NASDAQ
Dynasil Corp of America, DYSL,NASDAQ
Dynatrace Inc, DT,NYSE
Dynatronics Corp, DYNT,NASDAQ
Dynavax Technologies Corp, DVAX,NASDAQ
Dyne Therapeutics Inc, DYN,NASDAQ
Dynex Capital Inc, DX,NYSE
Dyntek Wts A, DYTKW,NASDAQ
DZS Inc, DZSI,NASDAQ
E Com Ventures, ECMV,NASDAQ
E Home Household Service Holdings Ltd, EJH,NASDAQ
E Merge Technology Acquisition Corporation, ETAC,NASDAQ
E Merge Technology Acquisition Corporation, ETACU,NASDAQ
E Trade Financial Corp, ETFCP,NASDAQ
E TRADE Financial Corporation, ETFC,NASDAQ
E*Trade Financial, ETFCD,NASDAQ
E.Piphany, EPNY,NASDAQ
E2open Parent Holdings Inc, ETWO,NYSE
Eagle Bancorp Inc, EGBN,NASDAQ
Eagle Bancorp Montana, EBMTD,NASDAQ
Eagle Bancorp Montana Inc, EBMT,NASDAQ
Eagle Bulk Shipping Inc, EGLE,NASDAQ
Eagle Capital Growth Fund Inc, GRF,AMEX
Eagle Financial Bancorp Inc, EFBI,NASDAQ
Eagle Growth and Income Opportunities Fund, EGIF,NYSE
Eagle Materials Inc, EXP,NYSE
Eagle Pharmaceuticals Inc, EGRX,NASDAQ
Eagle Point Credit Company Inc, ECCY,NYSE
Eagle Point Credit Company Inc, ECCX,NYSE
Eagle Point Credit Company Inc, ECCW,NYSE
Eagle Point Credit Company Inc, ECC,NYSE
Eagle Point Income Company Inc, EIC,NYSE
Eagle Rock Energy Partners, EROCW,NASDAQ
Eagle Rock Energy Partners, EROCR,NASDAQ
Eagle Supply Grp., EEGL,NASDAQ
Eargo Inc, EAR,NASDAQ
Eargo Inc, EAR,NASDAQ
Earthlink Holdings Corp., ELNK,NASDAQ
Earthstone Energy Inc, ESTE,NYSE
East Penn Finl Corp, EPEN,NASDAQ
East Resources Acquisition Company, ERES,NASDAQ
East Stone Acquisition Corporation, ESSC,NASDAQ
East West Bancorp Inc, EWBC,NASDAQ
Easterly Government Properties Inc, DEA,NYSE
Eastern Bankshares Inc, EBC,NASDAQ
Eastern Company, EML,NASDAQ
Eastern Insurance Holdings - Common Stock, EIHI,NASDAQ
Eastern Virginia Bankshares, EVBS,NASDAQ
Eastgroup Properties Inc, EGP,NYSE
Eastman Chemical Co, EMN,NYSE
Eastman Kodak Company, KODK,NYSE
Eastside Distilling Inc, EAST,NASDAQ
Easylink Services, EASYD,NASDAQ
Easylink Services Corp CL A, EASY,NASDAQ
Easylink Services International Corp. - Class A, ESIC,NASDAQ
Eaton Corp New, ETN,NYSE
Eaton Vance 2021 Target Term Trust, EHT,NYSE
Eaton Vance Buy Write Strategies Fund, EXD,NYSE
Eaton Vance California Municipal Bond Fund, EVM,AMEX
Eaton Vance California Municipal Income, CEV,AMEX
Eaton Vance Corp, EV,NYSE
Eaton Vance Enhanced Equity Income Fund, EOI,NYSE
Eaton Vance Enhanced Equity Income Fund II, EOS,NYSE
Eaton Vance Floating Rate 2022 Target Term Trust, EFL,NYSE
Eaton Vance Floating Rate Income Plus Fund, EFF,NYSE
Eaton Vance Floating Rate Income Trust, EFT,NYSE
Eaton Vance Limited Duration Income Fund, EVV,AMEX
Eaton Vance Municipal Bond Fund, EIM,AMEX
Eaton Vance Municipal Income 2028 Term Trust, ETX,NYSE
Eaton Vance Municipal Income Trust, EVN,NYSE
Eaton Vance National Municipal Opportunities Trust, EOT,NYSE
Eaton Vance New York Municipal Bond Fund, ENX,AMEX
Eaton Vance NextShares Trust II, EVFTC,NASDAQ
Eaton Vance NextShares Trust II Oaktree Diversified Credit, OKDCC,NASDAQ
Eaton Vance NY Muni Income Trust, EVY,AMEX
Eaton Vance Risk Managed Diversified Equity Income Fund, ETJ,NYSE
Eaton Vance Senior Floating Rate Trust, EFR,NYSE
Eaton Vance Senior Income, EVF,NYSE
Eaton Vance Short Duration Diversified Income Fund, EVG,NYSE
Eaton Vance Tax Advantaged Dividend Income Fund, EVT,NYSE
Eaton Vance Tax Advantaged Global Dividend Income Fund, ETG,NYSE
Eaton Vance Tax Advantaged Global Dividend Opp Fund, ETO,NYSE
Eaton Vance Tax Managed Buy Write Income Fund, ETB,NYSE
Eaton Vance Tax Managed Buy Write Opportunities Fund, ETV,NYSE
Eaton Vance Tax Managed Diversified Equity Income Fund, ETY,NYSE
Eaton Vance Tax Managed Global Buy Write Opportunities Fund, ETW,NYSE
Eaton Vance Tax Managed Global Diversified Equity Income Fund, EXG,NYSE
Ebang International Holdings Inc, EBON,NASDAQ
Ebix Inc, EBIX,NASDAQ
ECA Marcellus Trust I, ECT,NYSE
Ecb Bancorp, ECBE,NASDAQ
Echo Global Logistics Inc, ECHO,NASDAQ
EchoStar Corporation, SATS,NASDAQ
EchoStar Corporation, SATSV,NASDAQ
Eci Telecom Ltd, ECIL,NASDAQ
Eclipsys Corp., ECLP,NASDAQ
Ecoark Holdings Inc, ZEST,NASDAQ
Ecofin Sustainable and Social Impact Term Fund, TEAF,NYSE
Ecolab Inc, ECL,NYSE
Ecollege Common St, ECLG,NASDAQ
Ecology and Environment Inc, EEI,NASDAQ
E-Commerce China Dangdang Inc. American Depositary Shares, DANG,NYSE
E-Compass Acquisition Corp. - Ordinary Shares, ECAC,NASDAQ
E-Compass Acquisition Corp. - Rights, ECACR,NASDAQ
E-Compass Acquisition Corp. - Units, ECACU,NASDAQ
Ecost.Com, ECST,NASDAQ
Ecovyst Inc, ECVT,NYSE
ECP Environmental Growth Opportunities Corporation, ENNV,NASDAQ
Edac Technologies Corp., EDAC,NASDAQ
EDAP TMS SA, EDAP,NASDAQ
Edci Holdings, EDCID,NASDAQ
Edci Holdings, EDCI,NASDAQ
Eddie Bauer Holdings, EBHI,NASDAQ
Edelman Financial Grp. Inc. (The), EF,NASDAQ
Eden Bioscience, EDEND,NASDAQ
Edesa Biotech Inc, EDSA,NASDAQ
Edgar Online, EDGR,NASDAQ
Edgar Online - Warrants, EDGRW,NASDAQ
Edge Petroleum Corp, EPEX,NASDAQ
Edge Petroleum Corp Ser A. Prf, EPEXP,NASDAQ
Edge Therapeutics, EDGE,NASDAQ
Edgewell Personal Care Company, EPC,NYSE
Edgewise Therapeutics Inc, EWTX,NASDAQ
Ediets.Com, DIET,NASDAQ
Ediets.Com, DIETD,NASDAQ
Edify Acquisition Corporation, EAC,NASDAQ
Edison International, EIX,NYSE
Edison Nation Inc, EDNT,NASDAQ
Edison Schools, EDSN,NASDAQ
Editas Medicine Inc, EDIT,NASDAQ
Edoc Acquisition Corporation, ADOC,NASDAQ
EdtechX Holdings Acquisition Corporation II, EDTX,NASDAQ
Education Realty Trust, EDR,AMEX
Educational Development Corporation, EDUC,NASDAQ
Edwards Grp. Limited ADS, EVAC,NASDAQ
Edwards Lifesciences Corp, EW,NYSE
Efjohnson Technologies, EFJI,NASDAQ
Efuture Holding Inc. - Ordinary Shares, EFUT,NASDAQ
EG Acquisition Corp, EGGF,NYSE
Egshares EM Strategic Opportunities Etf, EMSO,AMEX
EGShares TCW EM Short Term Investment Grade Bond ETF, SEMF,NYSE
E-House (China) Holdings Limited American Depositary Share, EJ,NYSE
Eidos Therapeutics Inc, EIDX,NASDAQ
Eiger Biopharmaceuticals Com, CLDN,NASDAQ
Eiger BioPharmaceuticals Inc, EIGR,NASDAQ
EJF Acquisition Corporation, EJFA,NASDAQ
Ekso Bionics Holdings Inc, EKSO,NASDAQ
El Paso Electric Co, EE,NYSE
El Pollo Loco Holdings Inc, LOCO,NASDAQ
Elamex S.A. DE C.V., ELAM,NASDAQ
Elanco Animal Health Incorporated, ELAN,NYSE
Elanco Animal Health Incorporated, ELAT,NYSE
Elastic NV, ESTC,NYSE
Elbit Systems Ltd, ESLT,NASDAQ
Elder Beerman Stores Corp, EBSC,NASDAQ
Eldorado Gold Corp Ltd, EGO,NYSE
Eldorado Resorts Inc, ERI,NASDAQ
Electrameccanica Vehicles Corporation, SOLO,NASDAQ
Electric City Corporation, ELCC,AMEX
Electric Last Mile Solutions Inc, ELMS,NASDAQ
Electro Energy Inc., EEEID,NASDAQ
Electro Rent Corp., ELRC,NASDAQ
Electro Scientific Industries, ESIO,NASDAQ
Electro Sensors Inc, ELSE,NASDAQ
Electromed Inc, ELMD,AMEX
Electronic Arts Inc, EA,NASDAQ
Electronic Arts Inc., ERTS,NASDAQ
Electronics Boutique Hldgs, ELBO,NASDAQ
Electronics For Imaging, EFII,NASDAQ
Eledon Pharmaceuticals Inc, ELDN,NASDAQ
Element Solutions Inc, ESI,NYSE
Elements S&P Commodity Trends Indicator -- Total Return Etn, LSC,AMEX
Elephant Talk Communication Corp. Delaware, ETAK,AMEX
Elevate Credit Inc, ELVT,NYSE
Elevation Oncology Inc, ELEV,NASDAQ
Eli Lilly and Co, LLY,NYSE
Eliem Therapeutics Inc, ELYM,NASDAQ
Elite Education Group International Ltd, EEIQ,NASDAQ
Elite Information Grp. Inc., ELTE,NASDAQ
Elixir Pharmaceuticals, ELXR,NASDAQ
Elizabeth Arden, RDEN,NASDAQ
Ellington Financial Inc, EFC,NYSE
Ellington Residential Mortgage REIT, EARN,NYSE
Elliott Opportunity II Corp, EOCW,NYSE
Ellomay Capital Ltd, ELLO,AMEX
Ellsworth Growth and Income Fund Ltd, ECF,AMEX
Elmira Savings Bank, ESBK,NASDAQ
E-Loan, EELN,NASDAQ
Elong ADS Representing 2 Ordinary Shares, LONG,NASDAQ
Eloqua, ELOQ,NASDAQ
Eloxx Pharmaceuticals Inc, ELOX,NASDAQ
Eloyalty Corp., ELOY,NASDAQ
